Date,HS_I,5,66,1,16,3,11
2001/11/5,10430.71973,48.898624,6.238052,24.664377,28.519909,1.257933,34.123314
2001/11/6,10356.04981,49.037518,5.969429,24.573692,29.043739,1.257933,33.491409
2001/11/7,10269.79004,49.454292,5.820195,24.301674,28.869125,1.244965,33.175465
2001/11/8,10538.62012,50.148888,5.939583,24.75507,30.41153,1.251449,33.807365
2001/11/9,10609.25,49.732121,null,24.75507,30.41153,1.251449,33.807365
2001/11/12,10592.4502,49.593185,5.969429,25.480524,32.448669,1.244965,33.702049
2001/11/13,10662.83984,49.732121,6.029125,25.933863,31.86661,1.257933,33.912682
2001/11/14,10950.04004,50.56562,6.029125,27.022018,33.176212,1.251449,34.439281
2001/11/15,11239.38965,51.121281,6.118665,28.110178,33.612751,1.244965,34.439281
2001/11/16,11287.37012,50.843445,6.238052,28.563519,33.612751,1.238478,33.912682
2001/11/19,11360.25977,51.399117,6.327597,28.200821,33.321724,1.238478,34.544579
2001/11/20,11225.79004,51.53804,6.208205,28.019493,33.469818,1.22551,34.755234
2001/11/21,11173.91992,51.815857,6.238052,27.566101,33.914116,1.219028,34.965878
2001/11/22,11253.29981,52.232601,6.208205,27.838114,34.210316,1.231994,34.649925
2001/11/23,11322.36035,52.371529,6.238052,28.382189,34.358402,1.219028,34.544579
2001/11/26,11391.95996,52.64938,6.208205,28.835581,35.543167,1.219028,34.333965
2001/11/27,11261.54004,51.954777,6.058969,28.291506,34.062206,1.212543,34.333965
2001/11/28,11066.19043,51.954777,5.999274,26.931334,32.877434,1.22551,34.649925
2001/11/29,11090.74023,51.815857,5.969429,26.387255,33.914116,1.238478,35.80843
2001/11/30,11279.25,52.510456,5.999274,27.384716,33.914116,1.2709,35.703106
2001/12/3,11155.15039,51.815857,5.909736,27.384716,34.654583,1.251449,35.17651
2001/12/4,11427.28027,52.232601,5.879889,28.382189,36.727936,1.238478,36.229706
2001/12/5,11678.44043,53.20504,6.118665,29.470358,38.653206,1.251449,36.545666
2001/12/6,11745.83984,54.038544,6.088818,30.01438,37.616516,1.22551,36.019066
2001/12/7,11832.17969,54.594181,6.118665,29.833052,38.949398,1.244965,36.440334
2001/12/10,11784.91992,54.038544,6.148512,30.195753,38.949398,1.238478,36.229706
2001/12/11,11693.04981,53.20504,6.088818,29.560995,38.208912,1.244965,36.440334
2001/12/12,11847.05957,53.343948,6.208205,30.105064,38.949398,1.22551,36.545666
2001/12/13,11529.54004,51.954777,6.118665,29.379665,38.505108,1.238478,35.91375
2001/12/14,11466.11035,51.676949,6.148512,29.198294,37.912712,1.244965,36.019066
2001/12/17,11465.78027,52.093731,6.088818,29.288971,37.172241,1.251449,36.440334
2001/12/18,11486.92969,52.371529,6.058969,29.470358,37.912712,1.238478,35.80843
2001/12/19,11565.23047,52.371529,6.148512,30.105064,38.06081,1.251449,36.650974
2001/12/20,11601.13965,51.954777,6.148512,30.195753,38.06081,1.244965,36.86161
2001/12/21,11158.09961,49.732121,5.999274,28.835581,36.579853,1.231994,35.492466
2001/12/24,11209.78027,50.148888,6.058969,28.835581,36.579853,1.251449,35.597775
2001/12/25,null,50.148888,null,28.835581,36.579853,1.251449,35.597775
2001/12/26,null,50.148888,null,28.835581,36.579853,1.251449,35.597775
2001/12/27,11359.5,50.982372,6.058969,28.835581,37.46843,1.251449,36.124378
2001/12/28,11431.58984,50.982372,6.058969,29.288971,37.320335,1.251449,36.440334
2001/12/31,11397.20996,50.704544,6.088818,29.379665,37.320335,1.244965,36.124378
2002/1/1,null,50.704544,null,29.379665,37.320335,1.244965,36.124378
2002/1/2,11350.84961,50.426689,6.029125,29.107594,37.616516,1.244965,36.019066
2002/1/3,11423.51953,51.121281,null,29.107594,37.616516,1.244965,36.019066
2002/1/4,11702.15039,52.788273,5.999274,29.560995,39.097492,1.244965,36.756306
2002/1/7,11892.63965,52.788273,6.088818,30.830465,41.170845,1.238478,36.966927
2002/1/8,11713.70996,51.399117,6.088818,30.377087,41.467037,1.244965,36.86161
2002/1/9,11440.71973,50.843445,6.118665,30.286442,40.726555,1.22551,36.440334
